player,debut,last_game,pos,teams,nickname,lastname,firstname
Samuel Dewitt,1919,1926,Infielder,"
Dayton Marcos, Indianapolis ABCs, Columbus Buckeyes, Toledo Tigers
",NA,Dewitt,Samuel
Kermit Dial,1932,1937,Infielder,"
Chicago American Giants, Columbus Blue Birds, Detroit Stars
",NA,Dial,Kermit
Lou Dials,1927,1936,Infielder,"
Chicago American Giants, Birmingham Black Barons, Memphis Red Sox, Detroit Stars, Homestead Grays, Hilldale Club, Akron Black Tyrites, Cleveland Giants, New York Black Yankees
",NA,Dials,Lou
Fernando Díaz,1945,1950,Outfielder,New York Cubans,NA,Díaz,Fernando
Pablo Díaz,1930,1935,Catcher,"
Cuban Stars (West), Cuban House of David, Cuban Stars (East), New York Cubans
",NA,Díaz,Pablo
Yoyo Díaz,1922,1935,Pitcher,"
Cuban Stars (West), New York Cubans
",NA,Díaz,Yoyo
Pedro Dibut,1923,1923,Pitcher,Cuban Stars (West),NA,Dibut,Pedro
Steel Arm Dickey,1921,1922,Pitcher,"
Knoxville Giants, Montgomery Grey Sox, St. Louis Stars
",NA,Dickey,Steel Arm
Martín Dihigo,1922,1950,"
Pitcher / Second baseman
","
Cuban League, Cuban Stars (East), Homestead Grays, Hilldale Giants, New York Cubans, Mexican League
",NA,Dihigo,Martín
Edwin Dimes,1926,1933,Outfielder,"
Dayton Marcos, Akron Black Tyrites
",NA,Dimes,Edwin
Jimmy Direaux,1937,1938,Pitcher,Baltimore Elite Giants,NA,Direaux,Jimmy
Dizzy Dismukes,1913,1951,"
Pitcher / Manager
","
Brooklyn Royal Giants, Lincoln Stars, Indianapolis ABCs, Dayton Marcos, Pittsburgh Keystones, Birmingham Black Barons, Memphis Red Sox,  St. Louis Stars, Chicago American Giants, Columbus Blue Birds, Kansas City Monarchs, among several others",NA,Dismukes,Dizzy
Dick Dixon,1928,1938,Pitcher,"
Harrisburg Giants, Baltimore Black Sox, Washington Pilots, New York Cubans, Philadelphia Stars
",NA,Dixon,Dick
Eddie Dixon,1938,1940,Pitcher,"
Atlanta Black Crackers, Indianapolis ABCs, Baltimore Elite Giants
",NA,Dixon,Eddie
George Dixon,1916,1934,Catcher,"
Chicago American Giants, Indianapolis ABCs, Birmingham Black Barons, Cleveland Tigers, Cleveland Red Sox
",NA,Dixon,George
Johnnie Bob Dixon,1926,1934,Pitcher,"
St. Louis Stars, Detroit Stars, Cleveland Hornets, Cleveland Tigers, Cuban House of David, Pollock's Cuban Stars, Cleveland Red Sox
",NA,Dixon,Johnnie Bob
Rap Dixon,1922,1937,Outfielder,"
Harrisburg Giants, Washington Potomacs, Chicago American Giants, Baltimore Black Sox, Hilldale Daisies, Pittsburgh Crawfords, Washington Pilots, Philadelphia Stars, Brooklyn Eagles, New York Cubans, Homestead Grays
",NA,Dixon,Rap
Tom Dixon,1930,1936,Catcher,"
Hilldale Club, Baltimore Black Sox, Bacharach Giants
",NA,Dixon,Tom
Larry Doby,1942,1946,Centerfielder,Newark Eagles,NA,Doby,Larry
John Donaldson,1912,1934,Pitcher,"
All Nations, Indianapolis ABCs, Brooklyn Royal Giants, Detroit Stars, Chicago American Giants, Kansas City Monarchs, Gilkerson's Union Giants
",NA,Donaldson,John
Lino Donoso,1947,1947,Pitcher,New York Cubans,NA,Donoso,Lino
Lucius Dorsey,1941,1942,Left fielder,"
Philadelphia Stars, Newark Eagles
",NA,Dorsey,Lucius
Charles  Dougherty,1909,1918,Pitcher,"
West Baden Sprudels, Leland Giants, Chicago American Giants, Chicago Giants
","""Pat""",Dougherty,Charles
Jesse Douglas,1937,1951,Infielder,"
New York Black Yankees, Kansas City Monarchs, Birmingham Black Barons, Chicago American Giants, Memphis Red Sox, New Orleans Eagles
",NA,Douglas,Jesse
Eddie Douglass,1913,1927,"
First baseman / Manager
",Brooklyn Royal Giants,NA,Douglass,Eddie
Joe Douse,1952,1953,Pitcher,Kansas City Monarchs,NA,Douse,Joe
Fred Downer,1921,1923,Outfielder,"
Pittsburgh Keystones, Cleveland Tate Stars
",NA,Downer,Fred
Bunny Downs,1916,1928,Second baseman,"
West Baden Sprudels, St. Louis Giants, Indianapolis ABCs, Hilldale Daisies, Atlantic City Bacharach Giants, Lincoln Giants, Brooklyn Royal Giants, Philadelphia Tigers
",NA,Downs,Bunny
Andy Drake,1932,1939,Catcher,"
Birmingham Black Barons, Louisville Black Caps, Chicago American Giants, St. Louis Stars
",NA,Drake,Andy
Bill Drake,1915,1927,Pitcher,"
All Nations, St. Louis Giants, St. Louis Stars, Kansas City Monarchs, Indianapolis ABCs, Dayton Marcos, Memphis Red Sox, Detroit Stars
",NA,Drake,Bill
Reinaldo Drake,1945,1954,Outfielder,Indianapolis Clowns,NA,Drake,Reinaldo
Valentín Dreke,1919,1927,Outfielder,Cuban Stars,NA,Dreke,Valentín
Claro Duany,1944,1947,Outfielder,New York Cubans,NA,Duany,Claro
Al Dubetts,1950,19__,,Chicago American Giants,NA,Dubetts,Al
Clifford DuBose,1957,1959,Third baseman,"
Memphis Red Sox, Birmingham Black Barons
",NA,DuBose,Clifford
Mahlon Duckett,1940,1950,Infielder,"
Philadelphia Stars, Homestead Grays
",NA,Duckett,Mahlon
Doc Dudley,1920,1923,Outfielder,St. Louis Stars,NA,Dudley,Doc
James Dudley,1938,1947,Catcher,Baltimore Elite Giants,NA,Dudley,James
Ernest Duff,1925,1929,Outfielder,"
Chicago American Giants, Indianapolis ABCs, Cleveland Elites, Cleveland Hornets, Cleveland Tigers (baseball), Brooklyn Royal Giants
",NA,Duff,Ernest
Tommie Dukes,1928,1945,Catcher,"
Chicago American Giants, Memphis Red Sox, Nashville Elite Giants, Homestead Grays, Toledo Crawfords
",NA,Dukes,Tommie
Louis Dula,1933,1939,Pitcher,Homestead Grays,NA,Dula,Louis
William Dumpson,1950,1953,"
Pitcher / Outfielder
","
Indianapolis Clowns, Homestead Grays, Philadelphia Stars, New York Black Yankees
",NA,Dumpson,William
Ashby Dunbar,1908,1920,Outfielder,"
Philadelphia Giants, Brooklyn Royal Giants, Club Fe, New York Lincoln Giants, Paterson Smart Set, Schenectady Mohawk Giants, Louisville White Sox, Chicago Black Sox, Indianapolis ABCs, New York Lincoln Stars, Pennsylvania Red Caps of New York
",NA,Dunbar,Ashby
Frank Duncan,1907,1931,"
Outfielder / Manager
","
Birmingham Giants, Philadelphia Giants, Leland Giants, Chicago American Giants, Detroit Stars, Chicago Giants, Bacharach Giants, Toledo Tigers, Milwaukee Bears
",NA,Duncan,Frank
Frank Duncan,1920,1935,Catcher,"
Chicago Giants, Kansas City Monarchs, Pittsburgh Crawfords, New York Cubans
",NA,Duncan,Frank
Melvin Duncan,1949,1956,"
Pitcher / Outfielder
","
Kansas City Monarchs, Detroit Stars
",NA,Duncan,Melvin
Herman Dunlap,1936,1938,Outfielder,Chicago American Giants,NA,Dunlap,Herman
Alphonse Dunn,1937,1943,First baseman,"
Detroit Stars, New York Cubans, Birmingham Black Barons
",NA,Dunn,Alphonse
Jake Dunn,1930,1940,"
Shortstop / Outfielder
","
Detroit Stars, Washington Pilots, Baltimore Black Sox, Nashville Elite Giants, Philadelphia Stars
",NA,Dunn,Jake
Joe Durham,1952,1952,Outfielder,Chicago American Giants,NA,Durham,Joe
Eddie Dwight,1925,1937,Center fielder,"
Kansas City Monarchs, Indianapolis ABCs
",NA,Dwight,Eddie
Frank Dyll,1950,19__,Shortstop,Chicago American Giants,NA,Dyll,Frank
Charles Earle,1907,1919,"
Pitcher / Manager
","
Cuban Giants, Philadelphia Giants, Brooklyn Royal Giants, New York Lincoln Giants, Grand Central Red Caps, Atlantic City Bacharach Giants
",NA,Earle,Charles
Luke Easter,1946,1947,First baseman,Homestead Grays,NA,Easter,Luke
Howard Easterling,1937,1949,Third baseman,"
Cincinnati Tigers, Chicago American Giants, Homestead Grays, New York Cubans
",NA,Easterling,Howard
Elbert Eatmon,1937,1938,Pitcher,Birmingham Black Barons,NA,Eatmon,Elbert
Joe Echols,1939,1939,Outfielder,Newark Eagles,NA,Echols,Joe
Juan Eckelson,1925,1925,Pitcher,Cuban Stars (West),NA,Eckelson,Juan
Chancelor Edwards,1928,1928,Catcher,Cleveland Tigers,NA,Edwards,Chancelor
Jesse Edwards,1923,1930,"
Second baseman / Pitcher
","
Memphis Red Sox, Birmingham Black Barons, Nashville Elite Giants
",NA,Edwards,Jesse
Tenny Edwards,1937,1937,Catcher,St. Louis Stars,NA,Edwards,Tenny
Weedy Edwards,1947,1947,Pitcher,Newark Eagles,NA,Edwards,Weedy
Mack Eggleston,1919,1934,"
Catcher / Manager
","
Dayton Marcos, Detroit Stars, Indianapolis ABCs Lincoln Giants, Bacharach Giants, Homestead Grays
",NA,Eggleston,Mack
Jim Elam,1943,1943,Pitcher,Newark Eagles,NA,Elam,Jim
Mooney Ellis,1921,1923,First baseman,"
Cleveland Tate Stars, Memphis Red Sox
",NA,Ellis,Mooney
Henry Elmore,1959,1962,Second baseman,"
Philadelphia Stars, Birmingham Black Barons
",NA,Elmore,Henry
Harry Else,1931,1940,Catcher,"
Monroe Monarchs, New Orleans Crescent Stars, Kansas City Monarchs, Chicago American Giants
",NA,Else,Harry
John Emory,1906,1909,Pitcher,"
Brooklyn Royal Giants, Philadelphia Giants
",NA,Emory,John
Charles England,1946,1946,Pitcher,Newark Eagles,NA,England,Charles
Louis English,1929,1932,Catcher,"
Detroit Stars, Nashville Elite Giants, Louisville Black Caps, Louisville White Sox
",NA,English,Louis
Luis Entenza,1927,1928,Outfielder,Cuban Stars (West),NA,Entenza,Luis
Oscar Estrada,1924,1925,Pitcher,"
Cuban Stars (East), Cuban League
",NA,Estrada,Oscar
Alex Evans,1924,1924,Pitcher,"
Indianapolis ABCs, Memphis Red Sox, Bacharach Giants
",NA,Evans,Alex
Bill Evans,1924,1934,Outfielder,"
Chicago American Giants, Indianapolis ABCs, Dayton Marcos, Cleveland Hornets, Brooklyn Royal Giants, Homestead Grays, Washington Pilots, Cincinnati Tigers
",NA,Evans,Bill
Bob Evans,1932,1943,Pitcher,"
Washington Pilots, Newark Dodgers, Newark Eagles, New York Black Yankees, Philadelphia Stars
",NA,Evans,Bob
Charley Evans,1921,1921,Outfielder,Baltimore Black Sox,NA,Evans,Charley
Felix Evans,1934,1949,Pitcher,"
Atlanta Black Crackers, Memphis Red Sox, Jacksonville Red Caps, Indianapolis ABCs, Baltimore Elite Giants, Newark Eagles, Ethiopian Clowns, Birmingham Black Barons
",NA,Evans,Felix
Frank Evans,1937,1950,Catcher,"
Memphis Red Sox, Kansas City Monarchs, Detroit Stars, Cleveland Buckeyes, Birmingham Black Barons, Philadelphia Stars
",NA,Evans,Frank
William Evans,1924,1925,Pitcher,"
Lincoln Giants, Baltimore Black Sox
",NA,Evans,William
Lionel Evelyn,1949,1959,Pitcher,"
Brooklyn Royal Giants, New York Cubans, Indianapolis Clowns, New York Black Yankees
",NA,Evelyn,Lionel
Jimmy Everett,1929,1940,Pitcher,"
Lincoln Giants, Newark Eagles
",NA,Everett,Jimmy
Wilmer Ewell,1925,1926,Catcher,Indianapolis ABCs,NA,Ewell,Wilmer
Buck Ewing,1920,1930,Catcher,"
Chicago American Giants, Columbus Buckeyes, Cleveland Tate Stars, Homestead Grays
",NA,Ewing,Buck
Julián Fabelo,1916,1923,Third baseman,Cuban Stars (East),NA,Fabelo,Julián
Isidro Fabré,1918,1939,Pitcher,Cuban Stars (West),NA,Fabré,Isidro
Bob Fagan,1921,1923,Second baseman,"
Kansas City Monarchs, St. Louis Stars
",NA,Fagan,Bob
Greene Farmer,1942,1947,Outfielder,"
New York Black Yankees, Cincinnati/Indianapolis Clowns, and New York Cubans
",NA,Farmer,Greene
Luther Farrell,1919,1934,Pitcher,"
Lincoln Giants, Indianapolis ABCs, Chicago Giants, St. Louis Giants, Chicago American Giants, Bacharach Giants, New York Black Yankees
",NA,Farrell,Luther
Benny Felder,1945,1951,Shortstop,"
Newark Eagles, Indianapolis Clowns, Philadelphia Stars
",NA,Felder,Benny
Buck Felder,1944,1944,Infielder,"
Chicago American Giants, Memphis Red Sox, Birmingham Black Barons
",NA,Felder,Buck
Albertus Fennar,1931,1946,Second baseman,"
Harlem Stars, New York Black Yankees, Brooklyn Royal Giants, Atlantic City Bacharach Giants
",NA,Fennar,Albertus
Bernard Fernandez,1938,1948,Pitcher,"
Atlanta Black Crackers, Jacksonville Red Caps, Pittsburgh Crawfords, New York Black Yankees
",NA,Fernandez,Bernard
José Fernández,1916,1950,Catcher,"
Cuban Stars (East), Chicago American Giants, New York Cubans
",NA,Fernández,José
Rudy Fernández,1932,1946,Pitcher,"
Cuban Stars (East), New York Cubans, New York Black Yankees
",NA,Fernández,Rudy
Howard  Ferrell,1947,1949,Pitcher,"
Newark Eagles, Baltimore Elite Giants
","""Toots""",Ferrell,Howard
Willie Ferrell,1937,1943,Pitcher,"
Birmingham Black Barons, Jacksonville Red Caps, Cleveland Bears, Homestead Grays, Chicago American Giants
",NA,Ferrell,Willie
Coco Ferrer,1946,1951,Shortstop,"
Indianapolis Clowns, Chicago American Giants
",NA,Ferrer,Coco
George Fiall,1920,1929,Infielder,"
Lincoln Giants, Harrisburg Giants, Baltimore Black Sox, Brooklyn Royal Giants, Birmingham Black Barons
",NA,Fiall,George
Tom Fiall,1918,1925,Outfielder,"
Hilldale Club, Brooklyn Royal Giants, Lincoln Giants, Baltimore Black Sox
",NA,Fiall,Tom
James Field,1921,1921,Pitcher,St. Louis Giants,NA,Field,James
Benny Fields,1932,1941,Infielder,"
Cleveland Cubs, Birmingham Black Barons, Atlanta Black Crackers, New York Black Yankees
",NA,Fields,Benny
Wilmer Fields,1940,1950,"
Pitcher / Third baseman
",Homestead Grays,NA,Fields,Wilmer
Rafael Figarola,1904,1923,Catcher,"
All Cubans, Cuban Stars (West), Lincoln Giants, Brooklyn Royal Giants
",NA,Figarola,Rafael
Jose  Figueroa,1940,1940,Pitcher,New York Cubans,"""Tito""",Figueroa,Jose
Luis  Figueroa,1946,1946,Pitcher,Baltimore Elite Giants,"""Tite""",Figueroa,Luis
Joe Fillmore,1941,1946,Pitcher,Philadelphia Stars,NA,Fillmore,Joe
Tom Finley,1922,1933,Third baseman,"
Bacharach Giants, Washington Potomacs, Lincoln Giants, Brooklyn Royal Giants, Baltimore Black Sox, Philadelphia Stars
",NA,Finley,Tom
John Finner,1919,1925,Pitcher,"
St. Louis Giants, St. Louis Stars, Milwaukee Bears, Birmingham Black Barons
",NA,Finner,John
Ed Finney,1947,1948,Third baseman,Baltimore Elite Giants,NA,Finney,Ed
John Fitzgerald,1943,1947,Catcher,"
Newark Eagles, New York Black Yankees
",NA,Fitzgerald,John
Joe Fleet,1930,1930,Pitcher,Chicago American Giants,NA,Fleet,Joe
Willis Flournoy,1919,1932,Pitcher,"
Hilldale Club, Brooklyn Royal Giants, Baltimore Black Sox
",NA,Flournoy,Willis
Charles Follis,1909,1909,Outfielder,Cuban Giants,NA,Follis,Charles
Robert Footes,1895,1906,Catcher,"
Chicago Unions, Chicago Union Giants, Philadelphia Giants, Brooklyn Royal Giants
",NA,Footes,Robert
Frank Forbes,1913,1919,Infielder,"
Philadelphia Giants, New York Lincoln Stars, New York Lincoln Giants, Royal Poinciana Hotel, Pennsylvania Red Caps of New York, Atlantic City Bacharach Giants
",NA,Forbes,Frank
Bill Force,1909,1909,Pitcher,"
Detroit Stars, Baltimore Black Sox, Brooklyn Royal Giants
",NA,Force,Bill
George Ford,1920,1924,Infielder,"
Baltimore Black Sox, Harrisburg Giants
",NA,Ford,George
Jimmy Ford,1937,1945,Infielder,"
Memphis Red Sox, Baltimore Elite Giants, Birmingham Black Barons, Washington Black Senators, New Orleans–St. Louis Stars, Chicago American Giants, New York Black Yankees, Harrisburg Stars, Philadelphia Stars
",NA,Ford,Jimmy
Sylvester Foreman,1920,1923,Catcher,"
Kansas City Monarchs, All Nations, Milwaukee Bears, Homestead Grays, Cleveland Browns (baseball), Indianapolis ABCs
",NA,Foreman,Sylvester
Pedro Formental,1947,1949,Outfielder,Memphis Red Sox,NA,Formental,Pedro
Percy Forrest,1938,1946,Pitcher,"
Chicago American Giants, New York Black Yankees, Newark Eagles
",NA,Forrest,Percy
Bill Foster,1923,1937,Pitcher,"
Memphis Red Sox, Chicago American Giants, Birmingham Black Barons, Homestead Grays, Kansas City Monarchs, Pittsburgh Crawfords
",NA,Foster,Bill
Leland Foster,1932,1932,Pitcher,Monroe Monarchs,NA,Foster,Leland
Rube Foster,1902,1917,"
Pitcher / Manager / Owner
","
Chicago Union Giants, Cuban X-Giants, Philadelphia Giants, Leland Giants, Chicago American Giants
",NA,Foster,Rube
Bud Fowler,1878,1895,"
Second baseman / Manager
","
Page Fence Giants, Cuban Giants
",NA,Fowler,Bud
Ervin Fowlkes,1948,1948,Shortstop,Homestead Grays,NA,Fowlkes,Ervin
Otis Francis,1909,1920,Infielder,"
Indianapolis ABCs, Chicago Union Giants
",NA,Francis,Otis
William  Francis,1906,1925,"
Third baseman / Manager
","
Philadelphia Giants, Matanzas, New York Lincoln Giants, Club Fé, Chicago American Giants, Detroit Stars, Hilldale Club, Atlantic City Bacharach Giants, Cleveland Browns
","""Bill""",Francis,William
Albert Frazier,1938,1944,,"
Jacksonville Red Caps, Cleveland Bears
",NA,Frazier,Albert
John Frye,1890,1896,First baseman,"
York Inter-State Base Ball Club, Cuban Giants
",NA,Frye,John
Jonas Gaines,1937,1950,Pitcher,"
Washington Elite Giants, Newark Eagles, Baltimore Elite Giants, Philadelphia Stars
",NA,Gaines,Jonas
Hippo Galloway,1900,1900,Third baseman,Cuban X-Giants,NA,Galloway,Hippo
Márgaro Gámiz,1926,1929,Catcher,"
Harrisburg Giants, Philadelphia Tigers, Cuban Stars (East), Baltimore Black Sox
",NA,Gámiz,Márgaro
Judy Gans,1908,1925,"
Pitcher / Manager
","
Cuban Giants, Brooklyn Royal Giants, Matanzas, New York Lincoln Giants, Paterson Smart Set, Club Fe, Chicago American Giants, Chicago Giants, Jewell's ABCs of Indianapolis
",NA,Gans,Judy
Antonio María García,1904,1905,Catcher,All Cubans,NA,García,Antonio María
Cocaína García,1927,1936,Pitcher,"
Cuban Stars (West), Cuban Stars (East), New York Cubans
",NA,García,Cocaína
Regino García,1905,1912,Catcher,"
All Cubans, Cuban Stars (West), Cuban X-Giants
",NA,García,Regino
Silvio García,1946,1947,Shortstop,New York Cubans,NA,García,Silvio
Floyd  Gardner,1919,1933,Outfielder,"
Detroit Stars, Chicago American Giants, New York Lincoln Giants, Homestead Grays
","""Jelly""",Gardner,Floyd
Ken  Gardner,1920,1932,Pitcher,"
Brooklyn Royal Giants, Lincoln Giants, Hilldale Club, Harrisburg Giants, Bacharach Giants, Newark Browns
","""Ping""",Gardner,Ken
Horace Garner,1949,1949,Outfielder,Indianapolis Clowns,NA,Garner,Horace
Gil Garrido,1944,1945,Infielder,New York Cubans,NA,Garrido,Gil
Charles Gary,1948,1950,Third baseman,Homestead Grays,NA,Gary,Charles
Robert Gaston,1933,1948,Catcher,Homestead Grays,NA,Gaston,Robert
Bill Gatewood,1906,1928,"
Pitcher / Manager
","
Leland Giants, Chicago Giants, Chicago American Giants, New York Lincoln Giants, St. Louis Giants, Detroit Stars, Birmingham Black Barons, among several others",NA,Gatewood,Bill
Ernest Gatewood,1914,1927,Catcher,"
Philadelphia Giants, Schenectady Mohawk Giants, New York Lincoln Giants, New York Lincoln Stars, Brooklyn Royal Giants, Atlantic City Bacharach Giants
",NA,Gatewood,Ernest
Herbert Gay,1929,1930,Pitcher,"
Chicago American Giants, Birmingham Black Barons, Baltimore Black Sox
",NA,Gay,Herbert
Rich Gee,1923,1926,Catcher,Lincoln Giants,NA,Gee,Rich
Tom Gee,1925,1926,Catcher,"
Lincoln Giants, Newark Stars
",NA,Gee,Tom
Johnny George,1920,1924,Infielder,"
St. Louis Giants, Chicago American Giants, Harrisburg Giants, Bacharach Giants
",NA,George,Johnny
Alphonso Gerard,1945,1948,Outfielder,"
New York Black Yankees, Indianapolis Clowns, Chicago American Giants
",NA,Gerard,Alphonso
John Gibbons,1941,1941,Pitcher,Philadelphia Stars,NA,Gibbons,John
Walter Lee Gibbons,1941,1949,Pitcher,"
Philadelphia Stars, New York Black Yankees, Indianapolis Clowns
",NA,Gibbons,Walter Lee
Jerry Gibson,1934,1934,Pitcher,Homestead Grays,NA,Gibson,Jerry
Josh Gibson,1930,1946,Catcher,"
Homestead Grays, Pittsburgh Crawfords, Mexican League
",NA,Gibson,Josh
Josh Gibson Jr.,1949,1950,Third baseman,Homestead Grays,NA,Jr.,Josh Gibson
Dennis Gilchrist,1932,1935,Infielder,"
Indianapolis ABCs, Columbus Blue Birds, Cleveland Red Sox, Homestead Grays, Brooklyn Eagles, New York Black Yankees
",NA,Gilchrist,Dennis
George Franklin Giles,1927,1938,First baseman,"
Kansas City Monarchs, St. Louis Stars, Homestead Grays, Brooklyn Eagles, New York Black Yankees, Philadelphia Stars, Pittsburgh Crawfords
",NA,Giles,George Franklin
George Gill,1931,1937,First baseman,"
Detroit Stars, Homestead Grays, Indianapolis ABCs, Indianapolis Athletics
",NA,Gill,George
Henry Gillespie,1921,1932,Pitcher,"
Hilldale Club, Bacharach Giants, Lincoln Giants, Harrisburg Giants, Philadelphia Tigers, Baltimore Black Sox
",NA,Gillespie,Henry
Jim Gilliam,1946,1950,Second baseman,Baltimore Elite Giants,NA,Gilliam,Jim
Louis Gillis,1946,1953,Catcher,"
Atlanta Black Crackers, Birmingham Black Barons
",NA,Gillis,Louis
Murray Gillispie,1930,1932,Pitcher,"
Chicago American Giants, Memphis Red Sox, Monroe Monarchs
",NA,Gillispie,Murray
Luther Gilyard,1937,1942,First baseman,"
St. Louis Stars, Chicago American Giants, Birmingham Black Barons
",NA,Gilyard,Luther
Alvin Gipson,1941,1946,Pitcher,Birmingham Black Barons,NA,Gipson,Alvin
Willie Gisentaner,1920,1936,Pitcher,"
Jacksonville Red Caps, Atlanta Black Crackers, Chicago American Giants, Columbus Buckeyes, Kansas City Monarchs, Atlantic City Bacharach Giants, Washington Potomacs, Harrisburg Giants, Newark Stars, Lincoln Giants, Colored All-Stars, Havana Red Sox, Cuban Stars (East), Louisville White Sox, Louisville Black Caps, Pittsburgh Crawfords, Nashville Elite Giants, Homestead Grays, Louisville Red Caps",NA,Gisentaner,Willie
Oscar Givens,1946,1948,Infielder,Newark Eagles,NA,Givens,Oscar
Butch Glass,1923,1930,Pitcher,"
Birmingham Black Barons, Memphis Red Sox, St. Louis Stars, Kansas City Monarchs, Louisville White Sox, Chicago American Giants
",NA,Glass,Butch
Hubert Glenn,1943,1949,Pitcher,"
Philadelphia Stars, New York Black Yankees, Indianapolis Clowns
",NA,Glenn,Hubert
Oscar  Glenn,1937,1938,Third baseman,Atlanta Black Crackers,"""Hap""",Glenn,Oscar
Stanley Glenn,1944,1950,Catcher,Philadelphia Stars,NA,Glenn,Stanley
Tom Glover,1934,1945,Pitcher,"
Cleveland Red Sox, Birmingham Black Barons, Columbus Elite Giants, Washington Elite Giants, Baltimore Elite Giants
",NA,Glover,Tom
Manuel Godínez,1946,1948,Pitcher,Indianapolis Clowns,NA,Godínez,Manuel
Clyde Golden,1948,1948,Pitcher,Newark Eagles,NA,Golden,Clyde
Fred Goliah,1909,1920,Infielder,"
Illinois Giants, Chicago American Giants, 25th Infantry Wreckers, Chicago Giants
",NA,Goliah,Fred
David Gómez,1925,1928,Pitcher,"
Cuban Stars (West), Philadelphia Tigers
",NA,Gómez,David
Gervasio González,1910,1917,Catcher,Cuban Stars (West),NA,González,Gervasio
Mike González,1910,1936,Catcher,"
Cuban League, Cuban Stars (West), New York Lincoln Giants
",NA,González,Mike
René González,1947,1956,"
First baseman / Outfielder
","
Mexican League, New York Cubans
",NA,González,René
Ernest Gooden,1921,1923,Infielder,"
Homestead Grays, Pittsburgh Keystones, Toledo Tigers, Cleveland Tate Stars, Detroit Stars
",NA,Gooden,Ernest
Joe Goodrich,1923,1924,Third baseman,Washington Potomacs,NA,Goodrich,Joe
Herald Gordon,1950,1950,Pitcher,Chicago American Giants,NA,Gordon,Herald
Herman Gordon,1920,1924,Pitcher,"
Kansas City Monarchs, Toledo Tigers, St. Louis Stars, Cleveland Browns
",NA,Gordon,Herman
Wallace Gordon,1907,1915,Utility Player,"
Cuban Giants, New York Black Sox, New York Lincoln Giants, Cuban Giants of Buffalo, Brooklyn All Stars, Indianapolis ABCs, Chicago Black Sox",NA,Gordon,Wallace
Harold Gould,1946,1948,Pitcher,Philadelphia Stars,NA,Gould,Harold
Ramón Govantes,1908,1909,Outfielder,Cuban Stars (West),NA,Govantes,Ramón
Willie Grace,1942,1951,Outfielder,"
Cleveland Buckeyes, Houston Eagles
",NA,Grace,Willie
Dennis Graham,1921,1931,Outfielder,"
Bacharach Giants, Homestead Grays, Pittsburgh Crawfords
",NA,Graham,Dennis
Charlie Grant,1896,1916,Second baseman,"
Page Fence Giants, Cuban X-Giants, Philadelphia Giants, New York Lincoln Giants
",NA,Grant,Charlie
Frank Grant,1889,1903,Second baseman,"
Cuban Giants, Page Fence Giants, Cuban X-Giants, Philadelphia Giants
",NA,Grant,Frank
Leroy Grant,1911,1924,First baseman,"
Chicago American Giants, Club Fé, Lincoln Giants, Breakers Hotel, Indianapolis ABCs, Cleveland Browns
",NA,Grant,Leroy
Chester Gray,1940,1945,Catcher,"
New Orleans–St. Louis Stars, New York Black Yankees, Harrisburg–St. Louis Stars, Kansas City Monarchs
",NA,Gray,Chester
Willie Gray,1920,1937,Catcher,"*Dayton Marcos, Pittsburgh Keystones, Cleveland Tate Stars, Homestead Grays, Lincoln Giants, Newark Browns, Brooklyn Royal Giants
",NA,Gray,Willie
Bill Greason,1948,1950,Pitcher,Birmingham Black Barons,NA,Greason,Bill
Charles  Green,1900,1921,Outfielder,"Chicago Clippers, Columbia Giants, Chicago Union Giants, Leland Giants, Chicago Giants
","""Joe""",Green,Charles
Honey Green,1938,1938,"
Outfielder / Pitcher
",Newark Eagles,NA,Green,Honey
Leslie  Green,1939,1946,Outfielder,"
New Orleans–St. Louis Stars, New York Black Yankees, Memphis Red Sox
","""Chin""",Green,Leslie
Pete Green,1912,1917,Outfielder,"
Cuban Giants, Philadelphia Giants, Lincoln Stars
",NA,Green,Pete
Willie Green,1915,1924,Third baseman,"
Chicago American Giants, Chicago Giants, Detroit Stars, Pittsburgh Keystones, Kansas City Monarchs
",NA,Green,Willie
Joe Greene,1932,1948,Catcher,"
Atlanta Black Crackers, Homestead Grays, Kansas City Monarchs, Cleveland Buckeyes
",NA,Greene,Joe
Victor Greenidge,1941,1944,Pitcher,New York Cubans,NA,Greenidge,Victor
Claude  Grier,1924,1928,Pitcher,"
Washington Potomacs, Bacharach Giants
","""Red""",Grier,Claude
Clarence Griffin,1933,1935,Outfielder,"
Columbus Blue Birds, Cleveland Red Sox, Brooklyn Eagles
",NA,Griffin,Clarence
Bob Griffith,1933,1949,Pitcher,"
Baltimore Elite Giants, Mexican League, New York Black Yankees, Kansas City Monarchs, Philadelphia Stars, Indianapolis Clowns
",NA,Griffith,Bob
Acie Griggs,1946,1951,Second baseman,"
Atlanta Black Crackers, New York Cubans, Birmingham Black Barons
",NA,Griggs,Acie
Wiley Griggs,1948,1958,Infielder,"
Cleveland Buckeyes, Houston Eagles, Birmingham Black Barons
",NA,Griggs,Wiley
Marcelino Guerra,1916,1924,Outfielder,"
Cuban Stars (East), Cuban Stars (West)
",NA,Guerra,Marcelino
Felix Guilbe,1946,1947,Outfielder,Baltimore Elite Giants,NA,Guilbe,Felix
Juan Guilbe,1940,1947,Pitcher,"
New York Cubans, Indianapolis Clowns
",NA,Guilbe,Juan
